ID,Court Number 1,Court Number 2,Court Number 3,Court Number 4,Case Type,Jury Sworn Date,Trial End Date,Co-Defendant,Trial Length Days,Convicted,Concluded,Trial Outcome,Crime Description
1467,19012205,,,,Misdemeanor,2019/10/29,2019/10/31,N,2,Convicted,Concluded,Convicted,Auto Theft
1470,16016159,,,,Misdemeanor,2019/11/01,2019/11/08,N,7,Convicted,Concluded,Convicted,DUI
1469,19012441,,,,Misdemeanor,2019/11/04,2019/11/07,N,3,Convicted,Concluded,Convicted,DUI
1471,19010003,,,,Felony,2019/11/05,2019/11/12,N,7,Convicted,Concluded,Convicted,Auto Theft
1479,19000989,,,,Felony,2019/11/05,2019/11/21,N,16,Convicted,Concluded,Convicted,Assault-Felony
1474,19006679,,,,Felony,2019/11/06,2019/11/15,N,9,Not Convicted,Concluded,Not Convicted,Attempted Homicid
1476,2516228,,,,Misdemeanor,2019/11/08,2019/11/18,N,10,Convicted,Concluded,Convicted,DUI
1494,17004252,,,,Felony,2019/11/11,2019/12/20,N,39,Convicted,Concluded,Convicted,Homicide
1473,17007131,,,,Misdemeanor,2019/11/12,2019/11/14,N,2,Convicted,Concluded,Convicted,DUI
1478,18002364,,,,Misdemeanor,2019/11/13,2019/11/21,N,8,Convicted,Concluded,Convicted,DUI
1477,19010081,,,,Felony,2019/11/15,2019/11/20,N,5,Convicted,Concluded,Convicted,Assault-Felony
1495,17004253,,,,Felony,2019/11/15,2019/12/20,N,35,Convicted,Concluded,Convicted,Homicide
1475,18006210,,,,Felony,2019/11/18,2019/11/18,N,0,Not Convicted,Concluded,Not Convicted,Assault-Felony
1483,19000071,,,,Felony,2019/11/21,2019/12/09,N,18,Convicted,Concluded,Convicted,Sexual Assault
1480,19007080,,,,Misdemeanor,2019/11/22,2019/11/26,N,4,Not Convicted,Concluded,Not Convicted,Stay Away Violati
1481,19014906,,,,Misdemeanor,2019/11/25,2019/12/03,N,8,Convicted,Concluded,Convicted,DUI
1482,2508197,,,,Misdemeanor,2019/12/03,2019/12/05,N,2,Convicted,Concluded,Convicted,Assault-Misdemean
1485,19012958,,,,Misdemeanor,2019/12/03,2019/12/10,N,7,Convicted,Concluded,Convicted,DUI with Injury
1484,17011490,,,,Misdemeanor,2019/12/04,2019/12/09,N,5,Not Convicted,Concluded,Not Convicted,DUI
1486,19012589,,,,Misdemeanor,2019/12/04,2019/12/16,N,12,Not Convicted,Not Concluded,Mistrial,DUI
1490,19014303,,,,Felony,2019/12/09,2019/12/18,N,9,Convicted,Concluded,Convicted,Gun-Felony
1488,19009967,,,,Misdemeanor,2019/12/11,2019/12/18,N,7,Not Convicted,Not Concluded,Mistrial,DUI
1487,18016173,,,,Misdemeanor,2019/12/12,2019/12/17,N,5,Convicted,Concluded,Convicted,DUI
1489,19011235,,,,Misdemeanor,2019/12/12,2019/12/18,N,6,Convicted,Concluded,Convicted,DUI
